PS C:\Bhavani\WIP\PnPPS\MERW Site Provisioning> Get-Command -Module *PnP*

CommandType     Name                                               Version    Source
Cmdlet          Get-PnPRequestAccessEmails                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSearchConfiguration                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSite                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteClassification                          2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteClosure                                 2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteCollectionAdmin                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteCollectionTermStore                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteDesign                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteDesignRights                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSitePolicy                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteScript                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSiteSearchQueryResults                      2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPStorageEntity                               2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPStoredCredential                            2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPSubWebs                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTaxonomyItem                                2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTaxonomySession                             2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTenantAppCatalogUrl                         2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTenantRecycleBinItem                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTenantSite                                  2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTerm                                        2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTermGroup                                   2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTermSet                                     2.22.18... SharePointPnPPowerShellOnline
Cmdlet          Get-PnPTheme                                       2.22.18... SharePointPnPPowerShellOnline
